year,model,body_style,price,mileage,city
2021,Explorer,SUV,23555.0,90587.0,Bridgeport
2021,Equinox,SUV,23685.0,9997.0,Oswego
2021,Rogue,SUV,23734.0,22858.0,Liverpool
2021,Cherokee,SUV,23743.0,43542.0,East Syracuse
2021,Escape,SUV,23865.0,4597.0,Auburn
2021,Bronco Sport,SUV,23924.0,69422.0,Carthage
2021,Crosstrek,SUV,23995.0,42200.0,Clayton
2021,RAV4,SUV,23995.0,88173.0,Auburn
2021,Atlas,SUV,23995.0,90081.0,Syracuse
2021,Grand Cherokee,SUV,24200.0,65430.0,East Syracuse
2021,Durango,SUV,24285.0,50062.0,Oswego
2021,XC40,SUV,24311.0,71669.0,Cicero
2021,Rogue,SUV,24588.0,48500.0,Liverpool
2021,Corsair,SUV,24711.0,58056.0,Cicero
2021,Ascent,SUV,24900.0,79444.0,Watertown
2021,Crosstrek,SUV,24949.0,49178.0,East Syracuse
2021,Explorer,SUV,24980.0,95407.0,Rome
2021,CR-V,SUV,24988.0,67802.0,Liverpool
2021,Traverse,SUV,24995.0,62400.0,Syracuse
2021,CR-V,SUV,24995.0,73000.0,Syracuse
2021,Crosstrek,SUV,24999.0,40849.0,Syracuse
2021,Grand Cherokee,SUV,25000.0,80054.0,Syracuse
2020,Sonic,Hatchback,13308.0,43763.0,Central Square
2020,EcoSport,SUV,14460.0,74516.0,Carthage
2020,Escape,SUV,15576.0,90577.0,Rome
2020,Sportage,SUV,15999.0,56731.0,Syracuse
2020,Cherokee,SUV,16422.0,77774.0,Liverpool
2020,Trax,SUV,16499.0,48750.0,Syracuse
2020,Venue,SUV,16699.0,28616.0,Syracuse
2020,Encore GX,SUV,16780.0,74931.0,Rome
2020,Cherokee,SUV,16988.0,87930.0,Whitesboro
2020,Sportage,SUV,17495.0,44700.0,Syracuse
2020,EcoSport,SUV,17785.0,14902.0,Central Square
2020,Terrain,SUV,17855.0,91025.0,Syracuse
2020,Terrain,SUV,18000.0,67489.0,Baldwinsville
2020,Renegade,SUV,18255.0,44273.0,Auburn
2020,Equinox,SUV,18413.0,70998.0,Carthage
2020,Tucson,SUV,18554.0,77449.0,Cicero
2020,Sorento,SUV,18712.0,52472.0,Central Square
2020,Compass,SUV,18875.0,64469.0,Auburn
