car_key,OVERALL_STARS,NUM_OF_SEATING,comb08,Avg_Price,Avg_Mileage,youSaveSpend,cylinders,ROLLOVER_POSSIBILITY,ROLLOVER_STARS,utility_score
2018 VOLKSWAGEN TIGUAN,4.0,6.0,24.0,,,-1500.0,4.0,0.156,4.0,
2018 VOLKSWAGEN TIGUAN,4.0,6.0,23.0,,,-1750.0,4.0,0.156,4.0,
2018 VOLKSWAGEN TIGUAN,5.0,,24.0,,,-1500.0,4.0,0.156,4.0,
2018 VOLKSWAGEN TIGUAN,5.0,,23.0,,,-1750.0,4.0,0.156,4.0,
2019 BUICK ENCORE,5.0,5.0,28.0,,,0.0,4.0,0.179,4.0,
2019 BUICK ENCORE,5.0,5.0,27.0,,,-250.0,4.0,0.179,4.0,
2019 BUICK ENCORE,5.0,5.0,27.0,,,-250.0,4.0,0.179,4.0,
2019 BUICK ENCORE,5.0,5.0,26.0,,,-500.0,4.0,0.179,4.0,
2019 BUICK ENVISION,5.0,5.0,25.0,,,-1000.0,4.0,0.159,4.0,
2019 BUICK ENVISION,5.0,5.0,24.0,,,-1500.0,4.0,0.159,4.0,
2019 CHEVROLET BLAZER,5.0,5.0,24.0,,,-1500.0,4.0,0.147,4.0,
2019 CHEVROLET EQUINOX,5.0,5.0,28.0,,,0.0,4.0,0.185,4.0,
2019 CHEVROLET EQUINOX,5.0,5.0,27.0,,,-250.0,4.0,0.185,4.0,
2019 CHEVROLET TRAX,5.0,5.0,28.0,,,0.0,4.0,0.179,4.0,
2019 CHEVROLET TRAX,5.0,5.0,26.0,,,-500.0,4.0,0.179,4.0,
2019 FORD ECOSPORT,4.0,5.0,28.0,,,0.0,3.0,0.191,4.0,
2019 FORD ECOSPORT,4.0,5.0,25.0,,,-1000.0,4.0,0.191,4.0,
2019 FORD EDGE,5.0,5.0,25.0,,,-1000.0,4.0,0.155,4.0,
2019 FORD EDGE,5.0,5.0,23.0,,,-1750.0,4.0,0.155,4.0,
2019 FORD ESCAPE,5.0,5.0,24.0,,,-1500.0,4.0,0.185,4.0,
2019 FORD ESCAPE,5.0,5.0,25.0,,,-1000.0,4.0,0.185,4.0,
2019 FORD ESCAPE,5.0,5.0,26.0,,,-500.0,4.0,0.185,4.0,
2019 FORD ESCAPE,5.0,5.0,24.0,,,-1500.0,4.0,0.185,4.0,
2019 FORD ESCAPE,5.0,5.0,23.0,,,-1750.0,4.0,0.185,4.0,
2019 GMC ACADIA,5.0,6.0,23.0,,,-1750.0,4.0,0.15,4.0,
2019 GMC TERRAIN,5.0,5.0,28.0,,,0.0,4.0,0.164,4.0,
2019 GMC TERRAIN,5.0,5.0,26.0,,,-500.0,4.0,0.164,4.0,
2019 HONDA CR-V,5.0,5.0,28.0,,,0.0,4.0,0.164,4.0,
2019 HONDA CR-V,5.0,5.0,30.0,,,500.0,4.0,0.164,4.0,
2019 HONDA CR-V,5.0,5.0,27.0,,,-250.0,4.0,0.164,4.0,
2019 HONDA CR-V,5.0,5.0,29.0,,,250.0,4.0,0.164,4.0,
2019 HONDA PILOT,5.0,7.5,23.0,,,-1750.0,6.0,0.164,4.0,
2019 HYUNDAI KONA,5.0,5.0,30.0,,,500.0,4.0,0.136,4.0,
2019 HYUNDAI KONA,5.0,5.0,27.0,,,-250.0,4.0,0.136,4.0,
2019 HYUNDAI KONA,5.0,5.0,30.0,,,500.0,4.0,0.136,4.0,
2019 HYUNDAI KONA,5.0,5.0,27.0,,,-250.0,4.0,0.136,4.0,
2019 HYUNDAI SANTA FE,5.0,5.0,25.0,,,-1000.0,4.0,0.146,4.0,
2019 HYUNDAI SANTA FE,5.0,5.0,23.0,,,-1750.0,4.0,0.146,4.0,
2019 HYUNDAI TUCSON,5.0,5.0,26.0,,,-500.0,4.0,0.155,4.0,
2019 HYUNDAI TUCSON,5.0,5.0,23.0,,,-1750.0,4.0,0.155,4.0,
2019 HYUNDAI TUCSON,5.0,5.0,25.0,,,-1000.0,4.0,0.155,4.0,
2019 HYUNDAI TUCSON,5.0,5.0,23.0,,,-1750.0,4.0,0.155,4.0,
2019 JEEP CHEROKEE,4.0,5.0,23.0,,,-1750.0,6.0,0.169,4.0,
2019 JEEP CHEROKEE,4.0,5.0,26.0,,,-500.0,4.0,0.169,4.0,
2019 JEEP CHEROKEE,4.0,5.0,25.0,,,-1000.0,4.0,0.169,4.0,
2019 JEEP CHEROKEE,4.0,5.0,24.0,,,-1500.0,4.0,0.169,4.0,
2019 JEEP CHEROKEE,4.0,5.0,24.0,,,-1500.0,4.0,0.169,4.0,
2019 JEEP CHEROKEE,4.0,5.0,23.0,,,-1750.0,4.0,0.169,4.0,
2019 JEEP COMPASS,4.0,5.0,26.0,,,-500.0,4.0,0.206,3.0,
2019 JEEP COMPASS,4.0,5.0,25.0,,,-1000.0,4.0,0.206,3.0,
2019 JEEP COMPASS,4.0,5.0,25.0,,,-1000.0,4.0,0.206,3.0,
2019 JEEP COMPASS,4.0,5.0,25.0,,,-1000.0,4.0,0.206,3.0,
2019 KIA SORENTO,5.0,6.0,25.0,,,-1000.0,4.0,0.158,4.0,
2019 KIA SORENTO,5.0,6.0,23.0,,,-1750.0,4.0,0.158,4.0,
2019 KIA SPORTAGE,5.0,5.0,25.0,,,-1000.0,4.0,0.147,4.0,
2019 KIA SPORTAGE,5.0,5.0,25.0,,,-1000.0,4.0,0.147,4.0,
2019 KIA SPORTAGE,5.0,5.0,23.0,,,-1750.0,4.0,0.147,4.0,
2019 KIA SPORTAGE,5.0,5.0,23.0,,,-1750.0,4.0,0.147,4.0,
2019 LINCOLN MKC,4.0,5.0,23.0,,,-1750.0,4.0,0.169,4.0,
2019 LINCOLN NAUTILUS,5.0,5.0,23.0,,,-1750.0,4.0,0.155,4.0,
2019 MAZDA CX-5,5.0,5.0,28.0,,,0.0,4.0,0.169,4.0,
2019 MAZDA CX-5,5.0,5.0,25.0,,,-1000.0,4.0,0.169,4.0,
2019 MAZDA CX-5,5.0,5.0,26.0,,,-500.0,4.0,0.169,4.0,
